set,attribute,score
41,Programmer,2.2
41,Technologist,2
42,Visualiser,4.7
42,Modeller,4.4
42,Programmer,3.8
42,Data Wrangler,3
42,Communicator,2.4
42,Technologist,2.3
43,Visualiser,4.8
43,Programmer,4.4
43,Technologist,3.4
43,Modeller,2.7
43,Communicator,2.1
43,Data Wrangler,1.7
44,Modeller,5.2
44,Technologist,4.5
44,Programmer,3.2
44,Visualiser,3.1
44,Communicator,2.2
44,Data Wrangler,1.6
45,Communicator,4.4
45,Modeller,4
45,Technologist,3.4
45,Data Wrangler,2.9
45,Visualiser,2.7
45,Programmer,2.3
46,Technologist,4.8
46,Programmer,4.5
46,Visualiser,3.5
46,Communicator,3.2
46,Modeller,2.4
46,Data Wrangler,2.2
47,Modeller,4.6
47,Programmer,4.4
47,Data Wrangler,3.7
47,Communicator,3.4
47,Visualiser,3
47,Technologist,2.3
48,Programmer,4.6
48,Technologist,4.2
48,Communicator,3.6
48,Modeller,3.4
48,Data Wrangler,3
48,Visualiser,2.8
49,Modeller,5
49,Programmer,4.6
49,Communicator,4.1
49,Technologist,2.2
49,Visualiser,2.1
49,Data Wrangler,1.8
50,Modeller,5.4
50,Programmer,5
50,Communicator,4.7
50,Data Wrangler,3.2
50,Technologist,2.2
50,Visualiser,1.6
51,Modeller,5
51,Visualiser,4.3
51,Programmer,3.2
51,Communicator,2.9
51,Technologist,2.6
51,Data Wrangler,2
52,Modeller,6
52,Technologist,4.6
52,Data Wrangler,4.1
52,Programmer,3.1
52,Visualiser,3
52,Communicator,2.7
53,Modeller,4.4
53,Data Wrangler,3.5
53,Communicator,2.9
53,Programmer,2.5
53,Visualiser,2.2
53,Technologist,1.6
54,Programmer,5.2
54,Visualiser,4.7
54,Data Wrangler,4.1
54,Communicator,3.7
54,Technologist,2.8
54,Modeller,2.5
55,Modeller,5.6
55,Programmer,4.4
55,Data Wrangler,4
55,Visualiser,2
55,Technologist,1.8
55,Communicator,0.8
56,Modeller,6.8
56,Data Wrangler,5.5
56,Communicator,4.7
56,Visualiser,4.2
56,Programmer,3.5
56,Technologist,2.8
57,Programmer,5.3
57,Data Wrangler,4.8
57,Technologist,3.6
57,Visualiser,3
57,Modeller,1.9
57,Communicator,1.5
58,Modeller,4.4
58,Visualiser,4.1
58,Data Wrangler,3.1
58,Programmer,2.5
58,Technologist,2.3
58,Communicator,2.1
59,Communicator,3.4
59,Programmer,3.2
59,Data Wrangler,3
59,Technologist,2.5
59,Modeller,2.1
59,Visualiser,1.7
60,Communicator,4.6
60,Data Wrangler,4.4
60,Programmer,4
60,Modeller,3.2
60,Technologist,2.8
60,Visualiser,2.5
61,Modeller,4.2
61,Programmer,3.9
61,Communicator,2.2
61,Technologist,1.9
61,Visualiser,1.8
61,Data Wrangler,1.4
62,Data Wrangler,5.7
62,Modeller,4.8
62,Visualiser,4.4
62,Technologist,3.6
62,Communicator,2.2
62,Programmer,1.8
63,Programmer,5.8
63,Modeller,4.6
63,Visualiser,3.7
63,Technologist,3.1
63,Data Wrangler,2.6
63,Communicator,1.5
64,Programmer,4.4
64,Technologist,4.2
64,Communicator,3.2
64,Modeller,3.1
64,Data Wrangler,2.2
64,Visualiser,1.6
65,Technologist,6
65,Programmer,5.1
65,Data Wrangler,4.8
65,Modeller,3.7
65,Communicator,2.9
65,Visualiser,2.1
66,Programmer,5.3
66,Data Wrangler,4.5
66,Modeller,3.8
66,Communicator,3.2
66,Visualiser,2.4
66,Technologist,2.1
67,Communicator,4.4
67,Data Wrangler,3.6
67,Visualiser,3.4
67,Programmer,2.4
67,Technologist,2.2
67,Modeller,1.8
68,Communicator,4
68,Programmer,3.7
68,Technologist,3.1
68,Visualiser,2.5
68,Data Wrangler,2.2
68,Modeller,2
69,Communicator,5.2
69,Technologist,4.7
69,Data Wrangler,4.2
69,Visualiser,3.6
69,Programmer,3.1
69,Modeller,2.1
70,Visualiser,6.4
70,Programmer,4.3
70,Communicator,4
70,Data Wrangler,3.4
70,Modeller,3.2
70,Technologist,2.3
71,Communicator,4.2
71,Programmer,3.6
71,Data Wrangler,3.1
71,Technologist,2.5
71,Modeller,1.8
71,Visualiser,1.4
72,Technologist,6.1
72,Programmer,5.1
72,Visualiser,4.4
72,Communicator,3.4
72,Modeller,2.9
72,Data Wrangler,1.8
73,Data Wrangler,5.5
73,Visualiser,5.2
73,Modeller,4.9
73,Communicator,4.3
73,Programmer,3.8
73,Technologist,3.2
74,Modeller,5.4
74,Visualiser,4.8
74,Technologist,4.3
74,Communicator,3.6
74,Programmer,2.8
74,Data Wrangler,1.5
75,Modeller,5.8
75,Programmer,4.8
75,Communicator,4.5
75,Data Wrangler,3.3
75,Technologist,3.1
75,Visualiser,2.9
76,Communicator,5.2
76,Data Wrangler,4.9
76,Modeller,4.5
76,Visualiser,3.4
76,Programmer,2.9
76,Technologist,2.1
77,Visualiser,4.2
77,Technologist,3.8
77,Data Wrangler,3
77,Communicator,2.7
77,Modeller,2.4
77,Programmer,2.3
78,Data Wrangler,4.5
78,Programmer,3.9
78,Modeller,3.6
78,Technologist,3
78,Communicator,2.6
78,Visualiser,2.3
79,Communicator,5.2
79,Technologist,4.3
79,Modeller,4
79,Data Wrangler,3.3
79,Programmer,2.5
79,Visualiser,2
80,Visualiser,5.3
80,Programmer,4.8
80,Modeller,4.1
80,Technologist,3.3
80,Communicator,3
80,Data Wrangler,2.8
81,Visualiser,4.4
81,Data Wrangler,3.4
81,Communicator,2.7
81,Technologist,2.5
81,Programmer,2
81,Modeller,1.8
82,Technologist,5.2
82,Programmer,4.3
82,Visualiser,3.4
82,Data Wrangler,3.1
82,Modeller,1.9
82,Communicator,1.5
83,Communicator,6.2
83,Technologist,5.4
83,Programmer,5
83,Visualiser,4.6
83,Modeller,2.6
83,Data Wrangler,2.3
84,Technologist,5.7
84,Programmer,4.9
84,Communicator,3.6
84,Visualiser,3.4
84,Data Wrangler,2.2
84,Modeller,1.7
85,Modeller,5.6
85,Communicator,4.9
85,Programmer,4.6
85,Data Wrangler,4
85,Technologist,2.6
85,Visualiser,1.6
86,Data Wrangler,4.6
86,Communicator,4
86,Programmer,3.8
86,Modeller,3.4
86,Visualiser,2.8
86,Technologist,2.3
87,Visualiser,5.6
87,Modeller,4.2
87,Technologist,3.9
87,Programmer,3.4
87,Data Wrangler,3
87,Communicator,2.4
88,Modeller,4.4
88,Programmer,4.2
88,Visualiser,3.6
88,Communicator,2.7
88,Technologist,2.5
88,Data Wrangler,2.2
89,Modeller,5.2
89,Programmer,4.8
89,Technologist,4
89,Visualiser,3.7
89,Data Wrangler,2.6
89,Communicator,1.2
90,Technologist,5.6
90,Modeller,4.9
90,Visualiser,4.3
90,Data Wrangler,3.8
90,Communicator,2.6
90,Programmer,1.7
91,Technologist,4.9
91,Modeller,4
91,Programmer,3.2
91,Data Wrangler,2.5
91,Visualiser,2.2
91,Communicator,1.7
92,Modeller,5.6
92,Technologist,5
92,Data Wrangler,3.8
92,Programmer,3.6
92,Communicator,2.2
92,Visualiser,1.6
93,Data Wrangler,4.8
93,Programmer,3.5
93,Technologist,3.3
93,Communicator,3.1
93,Modeller,2.4
93,Visualiser,2
94,Programmer,5.2
94,Modeller,4
94,Technologist,3.1
94,Communicator,2.5
94,Data Wrangler,2.1
94,Visualiser,1.7
95,Communicator,6.4
95,Modeller,5.3
95,Data Wrangler,4.6
95,Programmer,4.2
95,Visualiser,3.4
95,Technologist,2
96,Data Wrangler,4.8
96,Visualiser,4.4
96,Programmer,3.8
96,Technologist,3.3
96,Modeller,2.6
96,Communicator,1.7
97,Technologist,5.2
97,Modeller,4
97,Data Wrangler,2.7
97,Programmer,2.5
97,Communicator,2.2
97,Visualiser,1
98,Technologist,5.2
98,Communicator,4.2
98,Modeller,3.2
98,Data Wrangler,2.7
98,Visualiser,1.9
98,Programmer,1.7
99,Modeller,4.6
99,Communicator,4.2
99,Data Wrangler,4
99,Programmer,3.4
99,Technologist,3
99,Visualiser,2.8
100,Visualiser,6.8
100,Programmer,5.2
100,Modeller,3.8
100,Communicator,3.1
100,Data Wrangler,2.9
100,Technologist,2
101,Visualiser,5.2
101,Programmer,4.1
101,Data Wrangler,3.1
101,Technologist,2.7
101,Communicator,2.4
101,Modeller,2.1
102,Visualiser,5.1
102,Communicator,4.2
102,Programmer,4
102,Modeller,3.1
102,Technologist,1.8
102,Data Wrangler,1.4
103,Communicator,4.6
103,Modeller,4
103,Visualiser,3.3
103,Technologist,3
103,Data Wrangler,2.2
103,Programmer,1
104,Visualiser,6
104,Technologist,4
104,Data Wrangler,3.1
104,Programmer,2.7
104,Communicator,2.2
104,Modeller,1.8
105,Visualiser,5.3
105,Programmer,4.7
105,Modeller,4.3
105,Technologist,3.7
105,Data Wrangler,3.3
105,Communicator,2.7
106,Data Wrangler,6.5
106,Modeller,4.9
106,Communicator,4.1
106,Technologist,3.7
106,Visualiser,3.2
106,Programmer,2
107,Modeller,4.6
107,Programmer,4.3
107,Data Wrangler,3.5
107,Visualiser,3.1
107,Communicator,2.2
107,Technologist,1.9
108,Modeller,4.8
108,Data Wrangler,3.7
108,Programmer,3.5
108,Communicator,3.2
108,Visualiser,1.5
108,Technologist,1.4
109,Communicator,4.8
109,Technologist,3.3
109,Visualiser,3.1
109,Data Wrangler,2.7
109,Modeller,2.4
109,Programmer,2.3
110,Programmer,5.4
110,Communicator,4
110,Visualiser,3.7
110,Data Wrangler,3.4
110,Modeller,3.2
110,Technologist,2.8
111,Communicator,5.6
111,Programmer,4.8
111,Technologist,3.4
111,Visualiser,2.7
111,Data Wrangler,2.5
111,Modeller,2.1
112,Communicator,5.4
112,Technologist,4.2
112,Modeller,3.8
112,Programmer,3.5
112,Data Wrangler,2.9
112,Visualiser,2.5
113,Data Wrangler,5.6
113,Visualiser,5.3
113,Programmer,4.7
113,Modeller,3.4
113,Communicator,2.7
113,Technologist,2.4
114,Visualiser,5.3
114,Technologist,4.3
114,Communicator,3.4
114,Data Wrangler,2.6
114,Modeller,2.4
114,Programmer,2
115,Visualiser,5.9
115,Programmer,4.9
115,Data Wrangler,4.1
115,Modeller,3.6
115,Technologist,3.1
115,Communicator,1.7
116,Communicator,5
116,Visualiser,4.4
116,Programmer,3.9
116,Modeller,3.4
116,Data Wrangler,2
116,Technologist,1.2
117,Modeller,5
117,Visualiser,4.3
117,Communicator,3.6
117,Data Wrangler,3.3
117,Technologist,3
117,Programmer,2.5
118,Visualiser,5.9
118,Modeller,4.8
118,Technologist,4.5
118,Data Wrangler,3.2
118,Communicator,2.9
118,Programmer,2.7
119,Programmer,5.9
119,Communicator,5.5
119,Visualiser,3.5
119,Data Wrangler,3.1
119,Technologist,2.7
119,Modeller,1.7
120,Communicator,5.2
120,Visualiser,4.9
120,Modeller,4.1
120,Programmer,3.3
120,Technologist,3
120,Data Wrangler,1.4
121,Communicator,4.8
121,Programmer,4.6
121,Data Wrangler,3.7
121,Modeller,2.9
121,Technologist,2.7
121,Visualiser,2.2
122,Technologist,5.9
122,Visualiser,4.5
122,Modeller,3.8
122,Communicator,3.1
122,Programmer,2.6
122,Data Wrangler,2.3
123,Modeller,6
123,Technologist,5.4
123,Data Wrangler,4.8
123,Visualiser,3.7
123,Programmer,2.6
123,Communicator,2.4
124,Modeller,6.2
124,Programmer,5.3
124,Technologist,4.9
124,Visualiser,2.6
124,Communicator,1.9
124,Data Wrangler,1
125,Programmer,6.7
125,Technologist,4.8
125,Visualiser,4.2
125,Data Wrangler,3.3
125,Modeller,2.9
125,Communicator,2
126,Data Wrangler,5.8
126,Communicator,5.1
126,Modeller,4.3
126,Technologist,3.7
126,Visualiser,2.3
126,Programmer,1.7
127,Communicator,5.2
127,Modeller,3.4
127,Programmer,3.1
127,Visualiser,2.9
127,Data Wrangler,2.2
127,Technologist,2
128,Modeller,7
128,Programmer,5.2
128,Technologist,4.1
128,Data Wrangler,3.5
128,Communicator,3
128,Visualiser,2
129,Modeller,5.2
129,Data Wrangler,4.3
129,Programmer,4
129,Technologist,3
129,Communicator,2.7
129,Visualiser,2.2
130,Communicator,5.4
130,Data Wrangler,4.8
130,Programmer,3.1
130,Modeller,2.9
130,Visualiser,2.6
130,Technologist,2.2
131,Programmer,6.2
131,Visualiser,4.7
131,Communicator,3.1
131,Data Wrangler,2.8
131,Modeller,2.6
131,Technologist,2.4
132,Visualiser,4.8
132,Communicator,3.8
132,Data Wrangler,3.4
132,Programmer,2.9
132,Modeller,2.2
132,Technologist,1.4
133,Data Wrangler,4.7
133,Programmer,4.3
133,Communicator,3.4
133,Technologist,3
133,Visualiser,2.7
133,Modeller,2
134,Programmer,5.4
134,Visualiser,4.8
134,Data Wrangler,3.4
134,Communicator,2.5
134,Modeller,2.2
134,Technologist,1.9
135,Visualiser,4.3
135,Technologist,3.1
135,Data Wrangler,2.9
135,Modeller,2.7
135,Programmer,2.2
135,Communicator,2
136,Communicator,5.6
136,Programmer,4
136,Data Wrangler,3.7
136,Visualiser,3
136,Technologist,2.3
136,Modeller,1.8
137,Visualiser,4.3
137,Modeller,4
137,Programmer,3.8
137,Communicator,3.4
137,Data Wrangler,2.8
137,Technologist,2
138,Communicator,6
138,Programmer,4.5
138,Data Wrangler,3.9
138,Visualiser,3.2
138,Modeller,2.1
138,Technologist,1.7
139,Visualiser,4.3
139,Communicator,4
139,Data Wrangler,3.7
139,Programmer,3.4
139,Modeller,1.8
139,Technologist,1.5
140,Data Wrangler,5.9
140,Technologist,4.8
140,Visualiser,3.6
140,Communicator,3.2
140,Modeller,2.6
140,Programmer,2.1
141,Data Wrangler,6.3
141,Communicator,4.6
141,Modeller,4.3
141,Visualiser,3.9
141,Technologist,3.1
141,Programmer,1.8
142,Modeller,4.8
142,Communicator,4.4
142,Data Wrangler,4.1
142,Visualiser,3
142,Programmer,2.2
142,Technologist,1.8
143,Modeller,5.4
143,Communicator,4.6
143,Programmer,4
143,Data Wrangler,2.8
143,Visualiser,2.2
143,Technologist,1.4
144,Data Wrangler,4.3
144,Modeller,3.8
144,Communicator,3.4
144,Technologist,3.1
144,Programmer,2
144,Visualiser,1.8
145,Modeller,5.4
145,Technologist,4.7
145,Data Wrangler,4.3
145,Communicator,2.9
145,Programmer,2.5
145,Visualiser,1.7
146,Technologist,6.1
146,Communicator,3.6
146,Modeller,3.1
146,Programmer,2.5
146,Data Wrangler,2.2
146,Visualiser,2
147,Data Wrangler,4.9
147,Programmer,4.7
147,Modeller,4
147,Communicator,3.4
147,Visualiser,2.6
147,Technologist,1.4
148,Technologist,5.5
148,Communicator,4.9
148,Data Wrangler,4.5
148,Programmer,3.4
148,Visualiser,3
148,Modeller,2.5
149,Data Wrangler,5.9
149,Visualiser,3.7
149,Technologist,3.2
149,Communicator,2.5
149,Modeller,2.4
149,Programmer,1.3
150,Technologist,5.9
150,Modeller,5.3
150,Programmer,4
150,Visualiser,2.6
150,Data Wrangler,2.2
150,Communicator,1.7
151,Visualiser,5.8
151,Data Wrangler,4.5
151,Modeller,3.4
151,Communicator,3.1
151,Programmer,2.7
151,Technologist,2.3
152,Data Wrangler,4.8
152,Visualiser,4.1
152,Programmer,3.7
152,Communicator,2.7
152,Modeller,2.4
152,Technologist,1.9
153,Technologist,5.7
153,Modeller,5.3
153,Programmer,5
153,Communicator,4.6
153,Data Wrangler,3.5
153,Visualiser,3.3
154,Communicator,4.4
154,Technologist,3.5
154,Visualiser,3.2
154,Programmer,2.7
154,Data Wrangler,2.3
154,Modeller,2
155,Data Wrangler,4.3
155,Programmer,4
155,Visualiser,3.7
155,Communicator,3.4
155,Modeller,3
155,Technologist,2.8
156,Data Wrangler,3.8
156,Communicator,3.4
156,Technologist,2.8
156,Modeller,2.4
156,Programmer,2.2
156,Visualiser,1.4
157,Technologist,5.5
157,Visualiser,4.6
157,Programmer,3.2
157,Data Wrangler,3
157,Modeller,2.6
157,Communicator,1.8
158,Visualiser,4.7
158,Communicator,3.6
158,Technologist,2.6
158,Data Wrangler,2.2
158,Modeller,2.1
158,Programmer,2
159,Data Wrangler,5.5
159,Visualiser,5.2
159,Programmer,4.8
159,Technologist,4.2
159,Communicator,2.7
159,Modeller,2.3
160,Technologist,4.8
160,Modeller,4.4
160,Communicator,4
160,Visualiser,3.7
160,Data Wrangler,3.3
160,Programmer,3
161,Visualiser,4.4
161,Programmer,3.4
161,Technologist,3.2
161,Communicator,2.9
161,Modeller,2.7
161,Data Wrangler,1.8
162,Communicator,5.2
162,Modeller,4.8
162,Programmer,4.1
162,Technologist,3.1
162,Visualiser,2.1
162,Data Wrangler,1.9
163,Data Wrangler,5.3
163,Modeller,4.9
163,Visualiser,4.4
163,Communicator,3.6
163,Technologist,2.3
163,Programmer,2
164,Modeller,5
164,Communicator,4.2
164,Visualiser,3.7
164,Programmer,3
164,Technologist,2.7
164,Data Wrangler,1.8
165,Modeller,6.2
165,Programmer,5.7
165,Technologist,4.4
165,Data Wrangler,4
165,Communicator,2.6
165,Visualiser,2
166,Modeller,5.4
166,Data Wrangler,4.7
166,Programmer,4.3
166,Communicator,2.5
166,Visualiser,2.4
166,Technologist,1.8
167,Technologist,5.2
167,Communicator,4.6
167,Data Wrangler,3.9
167,Programmer,3.1
167,Visualiser,2.2
167,Modeller,1.8
168,Technologist,5.7
168,Communicator,5.3
168,Visualiser,3.9
168,Data Wrangler,3.4
168,Modeller,2.4
168,Programmer,1.7
169,Programmer,5.3
169,Technologist,3.3
169,Visualiser,3.1
169,Modeller,2.7
169,Data Wrangler,2
169,Communicator,1.8
170,Modeller,6.2
170,Communicator,4.8
170,Data Wrangler,4.5
170,Programmer,4.1
170,Technologist,3.8
170,Visualiser,2.4
171,Programmer,5.2
171,Data Wrangler,4.8
171,Communicator,4.5
171,Visualiser,4.2
171,Technologist,3.8
171,Modeller,3
172,Visualiser,5.2
172,Technologist,4.4
172,Programmer,4
172,Communicator,3.6
172,Modeller,1.8
172,Data Wrangler,1.6
173,Communicator,4.8
173,Technologist,4.3
173,Data Wrangler,4
173,Modeller,3.6
173,Programmer,2.4
173,Visualiser,1.9
174,Programmer,5
174,Technologist,4.4
174,Communicator,3.8
174,Visualiser,3.6
174,Data Wrangler,3
