set,attribute,score
1750,Data Wrangler,2.2
1750,Programmer,1.8
1751,Programmer,5
1751,Communicator,4.6
1751,Data Wrangler,3.9
1751,Technologist,3.1
1751,Modeller,2.4
1751,Visualiser,2.2
1752,Programmer,5.8
1752,Visualiser,5.2
1752,Communicator,4.7
1752,Modeller,3.4
1752,Data Wrangler,3
1752,Technologist,2
1753,Communicator,5.2
1753,Programmer,4.1
1753,Modeller,3.8
1753,Visualiser,3
1753,Data Wrangler,2.6
1753,Technologist,1.8
1754,Modeller,5.8
1754,Technologist,3.9
1754,Data Wrangler,3.5
1754,Visualiser,3.2
1754,Communicator,2.9
1754,Programmer,2.3
1755,Modeller,5.8
1755,Technologist,4.6
1755,Communicator,4
1755,Visualiser,2.6
1755,Programmer,2.2
1755,Data Wrangler,2
1756,Data Wrangler,5.1
1756,Visualiser,4.6
1756,Technologist,4.2
1756,Communicator,3.4
1756,Modeller,2.9
1756,Programmer,1.7
1757,Programmer,5.5
1757,Modeller,3.6
1757,Visualiser,3.3
1757,Data Wrangler,2.7
1757,Technologist,2
1757,Communicator,1.8
1758,Visualiser,6.5
1758,Programmer,5.3
1758,Data Wrangler,4
1758,Modeller,3.7
1758,Communicator,2.9
1758,Technologist,1.5
1759,Communicator,5.6
1759,Modeller,5.3
1759,Programmer,4
1759,Data Wrangler,3.2
1759,Visualiser,3
1759,Technologist,2.3
1760,Programmer,5.7
1760,Technologist,5.1
1760,Data Wrangler,4.5
1760,Visualiser,4.1
1760,Modeller,3.5
1760,Communicator,1.4
1761,Visualiser,5.8
1761,Programmer,4.6
1761,Communicator,4
1761,Modeller,3.7
1761,Data Wrangler,3.4
1761,Technologist,2.9
1762,Data Wrangler,5.4
1762,Communicator,4.8
1762,Visualiser,4
1762,Modeller,3.6
1762,Programmer,2.7
1762,Technologist,2.5
1763,Modeller,6.2
1763,Communicator,4.4
1763,Visualiser,3.9
1763,Programmer,3.6
1763,Technologist,2.7
1763,Data Wrangler,2.4
1764,Technologist,5.3
1764,Communicator,4.4
1764,Visualiser,4
1764,Modeller,3.4
1764,Programmer,2.8
1764,Data Wrangler,2.5
1765,Data Wrangler,6
1765,Programmer,4.9
1765,Communicator,4.5
1765,Technologist,3.3
1765,Modeller,2.6
1765,Visualiser,2.2
1766,Data Wrangler,5.8
1766,Visualiser,5.1
1766,Technologist,4.6
1766,Communicator,3.9
1766,Modeller,2.7
1766,Programmer,1.7
1767,Visualiser,6
1767,Programmer,5.3
1767,Technologist,4
1767,Data Wrangler,2.8
1767,Communicator,2.6
1767,Modeller,2
1768,Technologist,5.5
1768,Programmer,4.5
1768,Visualiser,4.2
1768,Communicator,3.9
1768,Modeller,3.5
1768,Data Wrangler,2
1769,Technologist,5.1
1769,Visualiser,4.8
1769,Programmer,4
1769,Communicator,3.7
1769,Modeller,3.4
1769,Data Wrangler,3
1770,Visualiser,5
1770,Data Wrangler,4.6
1770,Modeller,4.3
1770,Programmer,3.3
1770,Communicator,2.9
1770,Technologist,2.1
1771,Communicator,5.2
1771,Programmer,4.5
1771,Data Wrangler,3.8
1771,Visualiser,3.4
1771,Technologist,2.2
1771,Modeller,1.8
1772,Communicator,6
1772,Programmer,4.7
1772,Technologist,4.1
1772,Visualiser,3.1
1772,Data Wrangler,2.2
1772,Modeller,1.8
1773,Visualiser,5.3
1773,Data Wrangler,4.5
1773,Programmer,3.9
1773,Modeller,3.6
1773,Technologist,3
1773,Communicator,1.8
1774,Modeller,5.2
1774,Technologist,3.7
1774,Visualiser,3.4
1774,Communicator,3.1
1774,Data Wrangler,2.6
1774,Programmer,2
1775,Programmer,5.9
1775,Technologist,4.2
1775,Communicator,3.8
1775,Modeller,3.4
1775,Data Wrangler,2.9
1775,Visualiser,2
1776,Data Wrangler,3.7
1776,Visualiser,3.5
1776,Modeller,2.5
1776,Programmer,2
1776,Technologist,1.7
1776,Communicator,1.5
1777,Programmer,5.4
1777,Data Wrangler,4.9
1777,Modeller,4.5
1777,Communicator,3.6
1777,Technologist,3
1777,Visualiser,1.4
1778,Programmer,5.9
1778,Modeller,4.9
1778,Communicator,4.1
1778,Technologist,3.1
1778,Visualiser,2.6
1778,Data Wrangler,2.4
1779,Technologist,5.4
1779,Visualiser,4.6
1779,Data Wrangler,3.6
1779,Programmer,2.7
1779,Communicator,2.4
1779,Modeller,2.1
1780,Modeller,5.8
1780,Technologist,5.2
1780,Programmer,4.6
1780,Visualiser,3.9
1780,Communicator,3.5
1780,Data Wrangler,2.7
1781,Communicator,6.6
1781,Modeller,5.1
1781,Visualiser,4.2
1781,Programmer,3.7
1781,Data Wrangler,2.8
1781,Technologist,2.4
1782,Communicator,5.8
1782,Visualiser,5
1782,Data Wrangler,4.6
1782,Modeller,4.3
1782,Technologist,3.3
1782,Programmer,2.8
1783,Data Wrangler,4.7
1783,Technologist,4.2
1783,Visualiser,3.1
1783,Modeller,2.5
1783,Programmer,2.2
1783,Communicator,2
1784,Modeller,6.2
1784,Visualiser,5
1784,Data Wrangler,4.5
1784,Technologist,4.2
1784,Communicator,2.7
1784,Programmer,1.9
1785,Technologist,5.1
1785,Modeller,4.8
1785,Communicator,4.3
1785,Visualiser,3.6
1785,Data Wrangler,2.1
1785,Programmer,1.8
1786,Data Wrangler,5.6
1786,Visualiser,4.6
1786,Programmer,4
1786,Technologist,3.8
1786,Communicator,2.9
1786,Modeller,2.7
1787,Programmer,5.3
1787,Technologist,4.1
1787,Visualiser,2.8
1787,Communicator,2.4
1787,Data Wrangler,2.2
1787,Modeller,2
1788,Technologist,4.8
1788,Programmer,3.7
1788,Visualiser,2.8
1788,Communicator,2.5
1788,Data Wrangler,1.8
1788,Modeller,1.4
1789,Technologist,5.8
1789,Modeller,4.8
1789,Programmer,3.9
1789,Communicator,3.6
1789,Data Wrangler,3
1789,Visualiser,1.5
1790,Visualiser,6
1790,Technologist,4.8
1790,Programmer,3.8
1790,Data Wrangler,3.5
1790,Modeller,2.7
1790,Communicator,1.7
1791,Technologist,5.5
1791,Data Wrangler,4.6
1791,Communicator,3.8
1791,Programmer,2.5
1791,Modeller,2.2
1791,Visualiser,1.9
1792,Modeller,4.8
1792,Programmer,3.8
1792,Data Wrangler,3.4
1792,Technologist,3.1
1792,Communicator,2.6
1792,Visualiser,1
1793,Communicator,5
1793,Programmer,4.8
1793,Visualiser,3.2
1793,Modeller,2.9
1793,Data Wrangler,2.6
1793,Technologist,2.3
1794,Visualiser,5.1
1794,Data Wrangler,3.7
1794,Technologist,3.4
1794,Communicator,2.9
1794,Modeller,2.7
1794,Programmer,1.9
1795,Visualiser,5.5
1795,Modeller,4.9
1795,Programmer,4
1795,Data Wrangler,3.1
1795,Communicator,2.7
1795,Technologist,2.3
1796,Technologist,4.7
1796,Visualiser,4
1796,Data Wrangler,3.2
1796,Communicator,2.7
1796,Programmer,1.8
1796,Modeller,1
1797,Programmer,5.2
1797,Technologist,4.8
1797,Communicator,3.1
1797,Modeller,2.2
1797,Data Wrangler,1.8
1797,Visualiser,1.7
1798,Programmer,4.7
1798,Modeller,3.6
1798,Data Wrangler,3.3
1798,Visualiser,2.7
1798,Technologist,2.3
1798,Communicator,1.8
1799,Modeller,5.6
1799,Communicator,4.6
1799,Data Wrangler,3.4
1799,Visualiser,3.2
1799,Programmer,2.3
1799,Technologist,2
1800,Modeller,5
1800,Data Wrangler,4.7
1800,Visualiser,4.2
1800,Communicator,3.9
1800,Programmer,2.8
1800,Technologist,2.5
1801,Technologist,5.1
1801,Programmer,4.5
1801,Data Wrangler,4.1
1801,Communicator,3.2
1801,Modeller,2.7
1801,Visualiser,2.3
1802,Modeller,5.2
1802,Data Wrangler,3.6
1802,Visualiser,3.4
1802,Communicator,2.9
1802,Technologist,2.2
1802,Programmer,1.5
1803,Visualiser,4.4
1803,Communicator,3.4
1803,Data Wrangler,3.2
1803,Programmer,2.6
1803,Modeller,2.1
1803,Technologist,2
1804,Programmer,6
1804,Technologist,4.6
1804,Visualiser,3.1
1804,Communicator,2.9
1804,Modeller,2.4
1804,Data Wrangler,2.1
1805,Programmer,5.6
1805,Data Wrangler,4.3
1805,Communicator,3.6
1805,Modeller,3.4
1805,Visualiser,2.4
1805,Technologist,2
1806,Modeller,5.4
1806,Visualiser,4.8
1806,Communicator,3.8
1806,Data Wrangler,3.6
1806,Programmer,2
1806,Technologist,1.6
1807,Technologist,5.6
1807,Visualiser,4.2
1807,Communicator,3.8
1807,Data Wrangler,3.6
1807,Programmer,3
1807,Modeller,2.4
1808,Visualiser,4.2
1808,Technologist,3.6
1808,Modeller,3.2
1808,Data Wrangler,2.1
1808,Programmer,1.8
1808,Communicator,1.2
1809,Communicator,5.4
1809,Modeller,4.8
1809,Technologist,3.8
1809,Data Wrangler,2.9
1809,Programmer,2.6
1809,Visualiser,1.4
1810,Communicator,6
1810,Programmer,5.2
1810,Technologist,4.9
1810,Data Wrangler,3.9
1810,Visualiser,3.4
1810,Modeller,2.5
1811,Technologist,5.9
1811,Visualiser,5.4
1811,Data Wrangler,4.4
1811,Communicator,4.1
1811,Modeller,2.9
1811,Programmer,2.1
1812,Technologist,5.9
1812,Visualiser,4.9
1812,Communicator,4.5
1812,Modeller,3.7
1812,Programmer,2.6
1812,Data Wrangler,1.3
1813,Modeller,5.2
1813,Technologist,4.8
1813,Communicator,4.3
1813,Programmer,3.9
1813,Visualiser,3.3
1813,Data Wrangler,2.4
1814,Visualiser,4.3
1814,Technologist,3.5
1814,Modeller,2.7
1814,Programmer,2.4
1814,Data Wrangler,1.4
1814,Communicator,1.2
1815,Programmer,4.4
1815,Technologist,3.6
1815,Modeller,3.2
1815,Visualiser,2.8
1815,Data Wrangler,2.6
1815,Communicator,2.3
1816,Communicator,6.6
1816,Technologist,4.9
1816,Data Wrangler,4.1
1816,Programmer,3.5
1816,Visualiser,2.7
1816,Modeller,2.3
1817,Programmer,4.7
1817,Modeller,4.4
1817,Technologist,4.1
1817,Data Wrangler,3.7
1817,Visualiser,2.3
1817,Communicator,2.1
1818,Data Wrangler,5
1818,Modeller,4.6
1818,Communicator,3.8
1818,Technologist,3.2
1818,Visualiser,2.7
1818,Programmer,2.3
1819,Technologist,5.6
1819,Communicator,4
1819,Modeller,3.6
1819,Visualiser,3.2
1819,Data Wrangler,2.6
1819,Programmer,1.6
1820,Data Wrangler,6.2
1820,Technologist,5.3
1820,Modeller,4.3
1820,Visualiser,4
1820,Communicator,3.4
1820,Programmer,2.3
1821,Communicator,4.2
1821,Visualiser,4
1821,Data Wrangler,3.7
1821,Technologist,3
1821,Modeller,1.9
1821,Programmer,1.6
1822,Communicator,5.6
1822,Technologist,4.3
1822,Modeller,4
1822,Programmer,3.7
1822,Data Wrangler,3.3
1822,Visualiser,3.1
1823,Technologist,5.6
1823,Programmer,4.6
1823,Data Wrangler,4.2
1823,Modeller,3.9
1823,Communicator,3.5
1823,Visualiser,1
1824,Modeller,5.6
1824,Visualiser,5.2
1824,Programmer,4.3
1824,Communicator,3.2
1824,Data Wrangler,1.9
1824,Technologist,1.6
1825,Communicator,5
1825,Visualiser,4.6
1825,Modeller,4.1
1825,Technologist,3.3
1825,Programmer,2.9
1825,Data Wrangler,2.5
1826,Modeller,4.6
1826,Visualiser,4.4
1826,Data Wrangler,3.4
1826,Programmer,3.1
1826,Technologist,2.6
1826,Communicator,1.8
1827,Visualiser,5.1
1827,Programmer,4.7
1827,Modeller,3.4
1827,Communicator,2.9
1827,Data Wrangler,1.9
1827,Technologist,1.7
1828,Technologist,4.7
1828,Communicator,4.4
1828,Visualiser,3.2
1828,Modeller,2.7
1828,Programmer,2.6
1828,Data Wrangler,1.7
1829,Data Wrangler,4.8
1829,Communicator,4.2
1829,Technologist,3.8
1829,Visualiser,3.2
1829,Programmer,2.6
1829,Modeller,2
1830,Data Wrangler,5.3
1830,Technologist,4.9
1830,Communicator,4.5
1830,Visualiser,3.3
1830,Programmer,2.4
1830,Modeller,2.1
1831,Programmer,3.6
1831,Modeller,3.2
1831,Data Wrangler,3
1831,Technologist,2.5
1831,Visualiser,2.1
1831,Communicator,1.4
1832,Visualiser,4
1832,Data Wrangler,3.1
1832,Technologist,2.8
1832,Programmer,2.4
1832,Modeller,2.1
1832,Communicator,1.8
1833,Data Wrangler,5.5
1833,Communicator,4
1833,Technologist,3.8
1833,Modeller,3.4
1833,Programmer,3.1
1833,Visualiser,2
1834,Programmer,4.7
1834,Communicator,4.2
1834,Data Wrangler,3.2
1834,Modeller,3.1
1834,Technologist,2.8
1834,Visualiser,2.6
1835,Visualiser,5.1
1835,Communicator,4.4
1835,Data Wrangler,3.5
1835,Modeller,3.1
1835,Programmer,2.6
1835,Technologist,1.9
1836,Communicator,6.8
1836,Visualiser,4.8
1836,Modeller,3.8
1836,Technologist,3.1
1836,Data Wrangler,2.3
1836,Programmer,2.1
1837,Visualiser,5.5
1837,Technologist,5.1
1837,Programmer,4.8
1837,Data Wrangler,4
1837,Modeller,3.5
1837,Communicator,2.8
1838,Modeller,5.6
1838,Visualiser,5.2
1838,Technologist,3.8
1838,Communicator,2.9
1838,Programmer,2.7
1838,Data Wrangler,2.3
1839,Technologist,5.3
1839,Visualiser,5
1839,Programmer,4.7
1839,Modeller,3.6
1839,Data Wrangler,2.4
1839,Communicator,2
1840,Data Wrangler,5.1
1840,Technologist,4.6
1840,Visualiser,3.8
1840,Modeller,3.2
1840,Communicator,2.9
1840,Programmer,2.7
1841,Modeller,5.8
1841,Communicator,4.2
1841,Programmer,3.6
1841,Data Wrangler,3.1
1841,Visualiser,3
1841,Technologist,0.8
1842,Modeller,4.8
1842,Communicator,4.2
1842,Programmer,3.9
1842,Technologist,3.2
1842,Data Wrangler,2.6
1842,Visualiser,2.5
1843,Data Wrangler,5.1
1843,Visualiser,4.3
1843,Programmer,3.6
1843,Technologist,3.1
1843,Communicator,2.7
1843,Modeller,2
1844,Technologist,4.8
1844,Programmer,3.7
1844,Data Wrangler,3.4
1844,Communicator,2.5
1844,Visualiser,2.2
1844,Modeller,1.7
1845,Data Wrangler,5.6
1845,Communicator,4.9
1845,Visualiser,3.9
1845,Modeller,3.6
1845,Programmer,3.2
1845,Technologist,2.2
1846,Communicator,5.6
1846,Data Wrangler,4.8
1846,Modeller,4.1
1846,Technologist,3.8
1846,Visualiser,3.5
1846,Programmer,2.9
1847,Visualiser,4.5
1847,Communicator,4.2
1847,Data Wrangler,2.9
1847,Programmer,2.6
1847,Technologist,1.8
1847,Modeller,1.5
1848,Data Wrangler,5.3
1848,Communicator,4.9
1848,Visualiser,4.2
1848,Technologist,3.4
1848,Programmer,2.6
1848,Modeller,2.3
1849,Data Wrangler,5.1
1849,Programmer,3.7
1849,Visualiser,3.5
1849,Technologist,2.6
1849,Communicator,2.2
1849,Modeller,2
1850,Programmer,4.9
1850,Modeller,4.4
1850,Communicator,4
1850,Technologist,3.4
1850,Visualiser,2.6
1850,Data Wrangler,2.3
1851,Programmer,5.4
1851,Visualiser,4.8
1851,Technologist,3.8
1851,Data Wrangler,3.3
1851,Modeller,3
1851,Communicator,1
1852,Technologist,5.8
1852,Communicator,4.2
1852,Modeller,3.8
1852,Visualiser,3.1
1852,Programmer,2.5
1852,Data Wrangler,2
1853,Technologist,5.5
1853,Modeller,4.9
1853,Data Wrangler,4.2
1853,Programmer,3.6
1853,Communicator,2.7
1853,Visualiser,2.3
1854,Data Wrangler,4.8
1854,Communicator,4
1854,Technologist,3.7
1854,Visualiser,3.2
1854,Programmer,2.2
1854,Modeller,1.8
1855,Technologist,6.2
1855,Data Wrangler,4.6
1855,Communicator,4.1
1855,Visualiser,3.8
1855,Modeller,3.5
1855,Programmer,2.3
1856,Technologist,4.6
1856,Programmer,4.3
1856,Modeller,4
1856,Visualiser,3.1
1856,Data Wrangler,2.8
1856,Communicator,2
1857,Communicator,4.6
1857,Data Wrangler,3.7
1857,Technologist,3.5
1857,Modeller,3.2
1857,Visualiser,2.5
1857,Programmer,2
1858,Visualiser,5.5
1858,Communicator,5.1
1858,Data Wrangler,4.2
1858,Modeller,3.4
1858,Programmer,3
1858,Technologist,1.5
1859,Technologist,4.9
1859,Visualiser,4.1
1859,Modeller,3.4
1859,Data Wrangler,2.2
1859,Communicator,1.9
1859,Programmer,1.8
1860,Modeller,5.2
1860,Communicator,4.2
1860,Data Wrangler,3.2
1860,Programmer,2.8
1860,Technologist,2.6
1860,Visualiser,2.3
1861,Technologist,6
1861,Programmer,5.1
1861,Data Wrangler,4.8
1861,Modeller,4.3
1861,Visualiser,3.4
1861,Communicator,1.4
1862,Visualiser,5.9
1862,Communicator,5.5
1862,Technologist,4.2
1862,Programmer,3.4
1862,Modeller,2.6
1862,Data Wrangler,2
1863,Visualiser,6
1863,Technologist,5.6
1863,Programmer,4.8
1863,Modeller,3.7
1863,Communicator,1.8
1863,Data Wrangler,1.7
1864,Data Wrangler,5.3
1864,Communicator,4.9
1864,Visualiser,4.5
1864,Technologist,2.7
1864,Modeller,2.2
1864,Programmer,1.7
1865,Visualiser,6.6
1865,Programmer,3.6
1865,Technologist,3.4
1865,Modeller,3.1
1865,Communicator,2.7
1865,Data Wrangler,1.9
1866,Modeller,5
1866,Technologist,4.7
1866,Programmer,3.7
1866,Communicator,3.1
1866,Visualiser,2.4
1866,Data Wrangler,1.4
1867,Modeller,5.2
1867,Programmer,4.3
1867,Visualiser,3.8
1867,Technologist,2.8
1867,Data Wrangler,1.9
1867,Communicator,1.7
1868,Visualiser,4.7
1868,Programmer,4.4
1868,Technologist,3.8
1868,Modeller,2.7
1868,Data Wrangler,2.5
1868,Communicator,2.1
1869,Communicator,5
1869,Data Wrangler,4.7
1869,Programmer,4.4
1869,Technologist,3.8
1869,Visualiser,2.3
1869,Modeller,1.7
1870,Visualiser,5
1870,Modeller,4.4
1870,Programmer,4
1870,Technologist,3.1
1870,Data Wrangler,2.8
1870,Communicator,2
1871,Visualiser,6.2
1871,Technologist,4.8
1871,Programmer,4.5
1871,Modeller,4.1
1871,Data Wrangler,3.1
1871,Communicator,2.7
1872,Data Wrangler,5.1
1872,Visualiser,3.9
1872,Modeller,3.1
1872,Programmer,2.9
1872,Communicator,2.4
1872,Technologist,2.2
1873,Visualiser,5.4
1873,Data Wrangler,4.9
1873,Technologist,4.4
1873,Programmer,2.3
1873,Communicator,1.6
1873,Modeller,1.4
1874,Programmer,4.7
1874,Communicator,4.4
1874,Data Wrangler,2.8
1874,Visualiser,2.6
1874,Technologist,2.2
1874,Modeller,1.7
1875,Modeller,5.4
1875,Data Wrangler,4.8
1875,Programmer,4
1875,Visualiser,3.5
1875,Communicator,2.6
1875,Technologist,1.9
1876,Modeller,4.8
1876,Programmer,4
1876,Communicator,3.1
1876,Data Wrangler,2.9
1876,Visualiser,2.5
1876,Technologist,1.2
1877,Communicator,5
1877,Data Wrangler,3.7
1877,Technologist,3.4
1877,Visualiser,3.2
1877,Modeller,2.7
1877,Programmer,2
1878,Technologist,5.7
1878,Programmer,5.2
1878,Modeller,4.5
1878,Visualiser,4
1878,Communicator,3.5
1878,Data Wrangler,3.1
1879,Data Wrangler,5.6
1879,Programmer,5.3
1879,Technologist,4.9
1879,Modeller,4.1
1879,Visualiser,2.7
1879,Communicator,2.3
1880,Modeller,6.2
1880,Technologist,5.7
1880,Communicator,3.4
1880,Data Wrangler,3.1
1880,Programmer,2.8
1880,Visualiser,2.1
1881,Communicator,3.6
1881,Visualiser,3.3
1881,Data Wrangler,2.9
1881,Modeller,2.7
1881,Technologist,2.2
1881,Programmer,2
1882,Communicator,4.4
1882,Modeller,4.2
1882,Visualiser,3.4
1882,Technologist,2.6
1882,Data Wrangler,2.3
1882,Programmer,2
1883,Visualiser,4.8
1883,Technologist,4.4
1883,Data Wrangler,4
1883,Programmer,3.1
1883,Communicator,2.9
1883,Modeller,2.3
1884,Data Wrangler,5.1
1884,Modeller,4.8
1884,Technologist,4.2
1884,Communicator,3.6
1884,Visualiser,2.7
1884,Programmer,2.5
1885,Data Wrangler,6.3
1885,Technologist,4
1885,Communicator,3.6
1885,Programmer,3.1
1885,Visualiser,3
1885,Modeller,2.4
1886,Visualiser,6.5
1886,Technologist,4.7
1886,Modeller,3.4
1886,Programmer,3.1
1886,Data Wrangler,2.6
1886,Communicator,1.4
1887,Modeller,5.6
1887,Data Wrangler,3.5
1887,Visualiser,3
1887,Technologist,2.3
1887,Programmer,2.1
1887,Communicator,1.7
1888,Modeller,4.4
1888,Programmer,4.2
1888,Communicator,3.2
1888,Data Wrangler,3.1
1888,Visualiser,2.9
1888,Technologist,2
1889,Programmer,4.8
1889,Technologist,4.5
1889,Modeller,3.4
1889,Data Wrangler,2.9
1889,Communicator,2.1
1889,Visualiser,1.4
1890,Technologist,5.9
1890,Communicator,4.8
1890,Data Wrangler,4.3
1890,Visualiser,3.9
1890,Modeller,3.5
1890,Programmer,1.5
1891,Programmer,5.9
1891,Technologist,5.5
1891,Data Wrangler,3.8
1891,Modeller,2.7
1891,Communicator,2.2
1891,Visualiser,1.5
1892,Data Wrangler,5.6
1892,Technologist,5.2
1892,Visualiser,4
1892,Communicator,3.4
1892,Programmer,2.8
1892,Modeller,1.7
1893,Modeller,5.6
1893,Visualiser,4.5
1893,Data Wrangler,3.9
1893,Communicator,3.6
1893,Technologist,3.4
1893,Programmer,2.4
1894,Visualiser,6
1894,Modeller,4.4
1894,Programmer,3.7
1894,Communicator,3.1
1894,Data Wrangler,2.2
1894,Technologist,2
1895,Data Wrangler,4.9
1895,Visualiser,4.4
1895,Communicator,4
1895,Programmer,3.7
1895,Modeller,3
1895,Technologist,2.3
1896,Communicator,5.6
1896,Modeller,4.2
1896,Visualiser,4
1896,Programmer,3.7
1896,Technologist,2.9
1896,Data Wrangler,2.6
1897,Data Wrangler,4
1897,Communicator,3.6
1897,Modeller,3.1
1897,Visualiser,2.6
1897,Programmer,2.3
1897,Technologist,1.1
1898,Programmer,5.2
1898,Modeller,4.4
1898,Visualiser,3.4
1898,Technologist,2.8
1898,Communicator,2.6
1898,Data Wrangler,1.4
1899,Technologist,5.4
1899,Modeller,4
1899,Visualiser,3.5
1899,Data Wrangler,3.1
1899,Programmer,2.3
1899,Communicator,2.1
1900,Communicator,5.4
1900,Visualiser,4.8
1900,Modeller,3.8
1900,Technologist,2.7
1900,Programmer,2.2
1900,Data Wrangler,1.4
1901,Programmer,4.5
1901,Data Wrangler,4.2
1901,Communicator,3.4
1901,Modeller,3.2
1901,Technologist,2.9
1901,Visualiser,2.5
1902,Programmer,5
1902,Communicator,4.6
1902,Visualiser,3.2
1902,Data Wrangler,3
1902,Modeller,2.4
1902,Technologist,2.1
1903,Modeller,4.6
1903,Technologist,4.2
1903,Programmer,3.5
1903,Visualiser,2.9
1903,Data Wrangler,2.6
1903,Communicator,1.7
1904,Data Wrangler,5.2
1904,Modeller,4.6
1904,Communicator,3.6
1904,Programmer,3.1
1904,Technologist,2.7
1904,Visualiser,2.5
1905,Programmer,5.6
1905,Technologist,4.6
1905,Modeller,4.1
1905,Communicator,3.4
1905,Visualiser,2.6
1905,Data Wrangler,1.5
1906,Visualiser,5.4
1906,Technologist,4.1
1906,Data Wrangler,3.4
1906,Communicator,2.4
1906,Modeller,2.2
1906,Programmer,1.8
1907,Visualiser,6.4
1907,Data Wrangler,4.7
1907,Modeller,4
1907,Programmer,3.1
1907,Technologist,2.9
1907,Communicator,2.3
1908,Communicator,4.8
1908,Programmer,4.6
1908,Data Wrangler,3.4
1908,Technologist,2.9
1908,Visualiser,2.2
1908,Modeller,2
1909,Programmer,5.3
1909,Visualiser,4.1
1909,Technologist,3.1
1909,Data Wrangler,2.9
1909,Communicator,1.8
1909,Modeller,1.7
1910,Visualiser,4.9
1910,Programmer,4.6
1910,Data Wrangler,3.8
1910,Modeller,2.4
1910,Technologist,1.9
1910,Communicator,1.5
1911,Visualiser,6.2
1911,Programmer,4.5
1911,Modeller,4.1
1911,Technologist,3.3
1911,Communicator,3
1911,Data Wrangler,2.5
1912,Visualiser,5.9
1912,Communicator,5.1
1912,Data Wrangler,4.6
1912,Modeller,3.7
1912,Programmer,3.5
1912,Technologist,3.2
1913,Communicator,4.8
1913,Data Wrangler,4.3
1913,Technologist,4
1913,Programmer,3.2
1913,Visualiser,2.9
1913,Modeller,2.5
1914,Data Wrangler,4.6
1914,Modeller,4.4
1914,Visualiser,3.1
1914,Programmer,2.7
1914,Technologist,2.2
1914,Communicator,1.7
1915,Programmer,5.1
1915,Communicator,3.6
1915,Data Wrangler,3.2
1915,Visualiser,2.5
1915,Technologist,2.2
1915,Modeller,1.4
1916,Data Wrangler,4.4
1916,Programmer,4.2
1916,Technologist,3.7
1916,Communicator,3.1
1916,Visualiser,2.1
1916,Modeller,0.8
1917,Programmer,4.7
1917,Technologist,4.1
1917,Visualiser,3.7
1917,Modeller,3.1
1917,Communicator,2.6
1917,Data Wrangler,2.2
1918,Programmer,4.9
1918,Communicator,4.4
1918,Modeller,4
1918,Technologist,3.6
1918,Visualiser,3.2
1918,Data Wrangler,1.1
1919,Visualiser,4.5
1919,Communicator,4
1919,Data Wrangler,3.1
1919,Programmer,2.9
1919,Technologist,1.6
1919,Modeller,0.9
1920,Programmer,4.9
1920,Modeller,4.2
1920,Data Wrangler,3.8
1920,Communicator,3.4
1920,Technologist,3
1920,Visualiser,1.8
1921,Visualiser,5.5
1921,Programmer,4.4
1921,Modeller,4
1921,Data Wrangler,3.5
1921,Technologist,2.9
1921,Communicator,2.3
1922,Technologist,5.5
1922,Data Wrangler,4.8
1922,Modeller,4.1
1922,Communicator,3.6
1922,Programmer,3
1922,Visualiser,2.3
1923,Visualiser,5.6
1923,Technologist,5
1923,Data Wrangler,3.5
1923,Communicator,2.9
1923,Modeller,2.1
1923,Programmer,1.4
1924,Modeller,5
1924,Programmer,4.8
1924,Data Wrangler,4.4
1924,Technologist,4
1924,Communicator,3.7
1924,Visualiser,3.4
1925,Communicator,5
1925,Visualiser,4.8
1925,Programmer,4
1925,Modeller,3.6
1925,Technologist,3.1
1925,Data Wrangler,2.6
1926,Technologist,5.2
1926,Communicator,4.6
1926,Modeller,3.2
1926,Programmer,2.7
1926,Data Wrangler,2.5
1926,Visualiser,2.2
1927,Data Wrangler,5.1
1927,Technologist,4.6
1927,Communicator,3.8
1927,Modeller,3.4
1927,Programmer,2.7
1927,Visualiser,1.4
1928,Modeller,4.6
1928,Programmer,4.4
1928,Communicator,3.1
1928,Visualiser,2.8
1928,Technologist,2.6
1928,Data Wrangler,2.1
1929,Modeller,4.8
1929,Programmer,4.5
1929,Technologist,2.9
1929,Visualiser,2.3
1929,Data Wrangler,1.9
1929,Communicator,1.7
1930,Data Wrangler,4.5
1930,Programmer,3.7
1930,Modeller,3.4
1930,Technologist,3.2
1930,Visualiser,3
1930,Communicator,2.3
1931,Technologist,5.3
1931,Data Wrangler,4.1
1931,Visualiser,3.9
1931,Programmer,3.1
1931,Modeller,2.4
1931,Communicator,2.1
1932,Visualiser,5.7
1932,Technologist,4.3
1932,Data Wrangler,3.9
1932,Modeller,2.5
1932,Programmer,2.3
1932,Communicator,2.1
1933,Communicator,5.4
1933,Technologist,5
1933,Programmer,3.5
1933,Modeller,3.1
1933,Visualiser,2.7
1933,Data Wrangler,2
1934,Data Wrangler,4.9
1934,Communicator,4.6
1934,Modeller,3.8
1934,Programmer,3.1
1934,Visualiser,1.9
1934,Technologist,1.2
1935,Modeller,6.2
1935,Visualiser,5.2
1935,Communicator,4.1
1935,Technologist,3.3
1935,Data Wrangler,2.8
1935,Programmer,2.5
1936,Modeller,6
1936,Communicator,4.9
1936,Programmer,4.2
1936,Data Wrangler,2.6
1936,Technologist,2.2
1936,Visualiser,1.8
1937,Data Wrangler,5
1937,Communicator,4
1937,Technologist,3.4
1937,Programmer,2.9
1937,Visualiser,2.6
1937,Modeller,0.9
